(0, 6):for 	 p.Purpose
(1077, 5):after 	 p.Time
(1077, 6):my 	 p.Agent
(1077, 12):than 	 p.ComparisonRef
(1078, 5):at 	 p.Locus
(1079, 6):in 	 p.Characteristic
(1079, 9):from 	 p.Source
(1080, 2):my 	 p.Experiencer
(1081, 29):with 	 p.Agent
(1081, 41):around 	 p.Locus
(1081, 44):to 	 p.Purpose
(1082, 1):In 	 p.Circumstance
(1082, 11):in 	 p.Circumstance
(1083, 6):to 	 p.Purpose
(1084, 22):of 	 p.QuantityItem
(1085, 3):for 	 p.Beneficiary
(1086, 3):my 	 p.Agent
(1086, 6):at 	 p.Locus
(1086, 16):of 	 p.QuantityItem
(1087, 12):per 	 p.SetIteration
(1087, 16):my 	 p.SocialRel
(1087, 23):of 	 p.Species
(1087, 29):out 	 p.Direction
(1087, 30):as 	 p.Approximator
(1087, 32):as 	 p.ComparisonRef
(1088, 7):about 	 p.Approximator
(1089, 12):of 	 p.Species
(1089, 18):for 	 p.Theme
(1089, 26):out 	 p.Direction
(1089, 27):with 	 p.Cost
(1089, 30):to 	 p.Recipient
(1090, 6):for 	 p.Explanation
(1090, 13):with 	 p.Circumstance
(1090, 14):their 	 p.Originator
(1091, 4):our 	 p.Possessor
(1092, 3):our 	 p.Possessor
(1092, 6):to 	 p.Goal
(1092, 11):back 	 p.Direction
(1093, 3):in 	 p.Locus
(1093, 10):after 	 p.Time
(1093, 18):at 	 p.Circumstance
(1093, 27):from 	 p.Source
(1093, 34):to 	 p.Goal
(1093, 37):for 	 p.Purpose
(1093, 42):back 	 p.Direction
(1094, 6):for 	 p.Purpose
(1094, 21):to 	 p.Goal
(1094, 22):my 	 p.Possessor
(1095, 7):for 	 p.Theme
(1096, 5):as 	 p.Identity
(1097, 14):with 	 p.Characteristic
(1098, 6):with 	 p.Agent
(1098, 15):with 	 p.Beneficiary
(1098, 17):as 	 p.Explanation
(1098, 29):for 	 p.Purpose
(1098, 30):my 	 p.Agent
(1099, 4):my 	 p.Originator
(1099, 7):upon 	 p.Time
(1099, 9):to 	 p.Purpose
(1099, 16):my 	 p.Originator
(1099, 19):with 	 p.Theme
(1099, 22):s 	 p.Originator
(1100, 3):about 	 p.Approximator
(1100, 7):before 	 p.Time
(1101, 4):my 	 p.SocialRel
(1101, 6):s 	 p.Originator
(1101, 18):than 	 p.ComparisonRef
(1102, 3):for 	 p.Theme
(1103, 4):in 	 p.Locus
(1103, 7):for 	 p.Duration
(1103, 10):to 	 p.Purpose
(1104, 9):about 	 p.Approximator
(1105, 6):about 	 p.Approximator
(1105, 9):of 	 p.QuantityItem
(1105, 10):our 	 p.Possessor
(1106, 3):in 	 p.Locus
(1106, 10):in 	 p.Characteristic
(1106, 14):of 	 p.Gestalt
(1107, 13):in 	 p.Locus
(1107, 22):on 	 p.Theme
(1108, 4):in 	 p.Locus
(1109, 7):to 	 p.Purpose
(1110, 9):for 	 p.Duration
(1111, 17):with 	 p.Manner
(1112, 8):of 	 p.QuantityItem
(1112, 9):their 	 p.Originator
(1113, 13):in 	 p.Locus
(1113, 14):your 	 p.Experiencer
(1114, 8):of 	 p.Whole
(1115, 12):past 	 p.Time
(1115, 13):it 	 p.Gestalt
(1115, 16):by 	 p.Time
(1116, 6):in 	 p.Time
(1116, 14):back 	 p.Direction
(1117, 7):to 	 p.Purpose
(1117, 9):your 	 p.Whole
(1118, 6):for 	 p.Purpose
(1119, 6):'s 	 p.Beneficiary
(1119, 21):for 	 p.Possession
(1120, 12):'s 	 p.Gestalt
(1120, 17):for 	 p.Possession
(1120, 22):at 	 p.Locus
(1121, 12):without 	 p.Characteristic
(1122, 24):for 	 p.Theme
(1123, 5):to 	 p.Goal
(1123, 7):for 	 p.Duration
(1123, 17):to 	 p.Stimulus
(1124, 9):his 	 p.Possessor
(1124, 11):to 	 p.Purpose
(1125, 2):of 	 p.QuantityItem
(1125, 19):for 	 p.Theme
(1126, 4):into 	 p.Goal
(1126, 8):for 	 p.Purpose
(1126, 12):on 	 p.Time
(1127, 3):to 	 p.ComparisonRef
(1128, 3):like 	 p.PartPortion
(1128, 8):around 	 p.Locus
(1129, 2):in 	 p.Goal
(1129, 6):my 	 p.Possessor
(1129, 11):to 	 p.Goal
(1129, 18):back 	 p.Direction
(1129, 19):to 	 p.Purpose
(1130, 10):without 	 p.Manner
(1131, 5):back 	 p.Direction
(1132, 3):at 	 p.Org
(1133, 4):for 	 p.Theme
(1133, 29):my 	 p.Experiencer
(1133, 37):to 	 p.Purpose
(1134, 5):in 	 p.Topic
(1135, 1):my 	 p.Experiencer
(1135, 3):with 	 p.Topic
(1136, 1):after 	 p.Time
(1136, 19):as 	 p.Characteristic
(1136, 21):as 	 p.ComparisonRef
(1137, 1):from 	 p.StartTime
(1137, 3):to 	 p.EndTime
(1138, 9):for 	 p.Purpose
(1138, 10):your 	 p.Possessor
(1139, 7):at 	 p.Locus
(1140, 1):Before 	 p.Time
(1140, 4):my 	 p.Experiencer
(1141, 6):in 	 p.Theme
(1141, 10):about 	 p.Approximator
(1141, 16):in 	 p.Theme
(1141, 18):after 	 p.Time
(1142, 6):after 	 p.Time
(1142, 7):my 	 p.Theme
(1142, 13):after 	 p.Time
(1142, 14):my 	 p.Theme
(1143, 8):my 	 p.Experiencer
(1143, 12):about 	 p.Approximator
(1143, 16):after 	 p.Time
(1144, 1):Before 	 p.Time
(1144, 3):to 	 p.Goal
(1144, 11):about 	 p.Topic
(1144, 17):my 	 p.SocialRel
(1144, 19):'s 	 p.SocialRel
(1145, 10):than 	 p.ComparisonRef
(1146, 5):about 	 p.Stimulus
(1147, 3):to 	 p.Recipient
(1147, 5):at 	 p.Circumstance
(1148, 7):my 	 p.Possessor
(1148, 10):in 	 p.Time
(1149, 2):to 	 p.Org
(1150, 6):your 	 p.SocialRel
(1150, 16):to 	 p.Theme
(1151, 3):after 	 p.Time
(1151, 12):on 	 p.Theme
(1152, 10):about 	 p.Stimulus
(1152, 15):about 	 p.Stimulus
(1153, 3):for 	 p.ComparisonRef
(1154, 2):of 	 p.Stimulus
(1154, 23):of 	 p.Gestalt
(1154, 34):in 	 p.Locus
(1155, 5):on 	 p.Time
(1156, 2):for 	 p.Circumstance
(1156, 6):for 	 p.Circumstance
(1157, 9):for 	 p.Purpose
(1158, 7):with 	 p.Circumstance
(1158, 11):Btwn 	 p.Time
(1158, 21):to 	 p.Purpose
(1158, 23):my 	 p.Originator
(1159, 12):for 	 p.Duration
(1159, 13):over 	 p.Approximator
(1160, 10):of 	 p.Gestalt
(1160, 14):at 	 p.Locus
(1160, 21):from 	 p.ComparisonRef
(1161, 9):at 	 p.Topic
(1161, 13):of 	 p.Species
(1162, 12):with 	 p.Agent
(1163, 3):in 	 p.Locus
(1163, 8):with 	 p.Possession
(1163, 19):s 	 p.Experiencer
(1164, 4):until 	 p.EndTime
(1164, 10):out 	 p.Path
(1165, 3):for 	 p.Explanation
(1166, 3):in 	 p.Direction
(1166, 8):about 	 p.Approximator
(1166, 11):ago 	 p.Time
(1166, 12):for 	 p.Purpose
(1167, 15):my 	 p.SocialRel
(1168, 5):of 	 p.SocialRel
(1168, 7):to 	 p.Goal
(1169, 11):for 	 p.Explanation
(1170, 12):to 	 p.Beneficiary
(1170, 15):than 	 p.ComparisonRef
(1170, 18):before 	 p.Time
(1171, 3):on 	 p.Time
(1171, 6):for 	 p.Purpose
(1171, 9):of 	 p.QuantityItem
(1172, 3):at 	 p.Org
(1172, 12):after 	 p.Time
(1173, 8):back 	 p.Interval
(1173, 9):in 	 p.Time
(1174, 4):with 	 p.Stimulus
(1175, 4):for 	 p.ComparisonRef
(1175, 9):your 	 p.SocialRel
(1175, 12):for 	 p.Purpose
(1176, 2):for 	 p.Beneficiary
(1177, 2):'s 	 p.Possessor
(1177, 20):for 	 p.Purpose
(1178, 3):below 	 p.Locus
(1179, 2):back 	 p.Direction
(1180, 12):of 	 p.Stimulus
(1180, 17):in 	 p.Time
(1181, 5):my 	 p.Possessor
(1182, 5):with 	 p.Agent
(1182, 11):in 	 p.Time
(1183, 8):off 	 p.Source
(1183, 14):to 	 p.Theme
(1183, 16):her 	 p.OrgMember
(1183, 25):around 	 p.Locus
(1184, 1):With 	 p.Circumstance
(1184, 15):by 	 p.Path
(1184, 30):around 	 p.Locus
(1185, 3):OF 	 p.Gestalt
(1186, 9):their 	 p.SocialRel
(1186, 17):in 	 p.Characteristic
(1187, 5):for 	 p.Purpose
(1187, 7):on 	 p.Topic
(1187, 8):our 	 p.Agent
(1187, 22):as 	 p.Explanation
(1187, 23):our 	 p.SocialRel
(1187, 36):with 	 p.Possession
(1187, 38):of 	 p.QuantityItem
(1187, 41):over 	 p.Means
(1187, 53):as 	 p.Identity
(1187, 54):our 	 p.SocialRel
(1188, 1):My 	 p.SocialRel
(1188, 8):in 	 p.Time
(1188, 11):of 	 p.Whole
(1188, 14):at 	 p.Locus
(1188, 15):our 	 p.Possessor
(1188, 17):by 	 p.Agent
(1188, 23):around 	 p.Approximator
(1188, 29):at 	 p.Locus
(1189, 4):to 	 p.Recipient
(1189, 8):as 	 p.ComparisonRef
(1190, 10):among 	 p.Whole
(1190, 19):to 	 p.Recipient
(1191, 10):via 	 p.Originator
(1191, 11):his 	 p.SocialRel
(1191, 17):our 	 p.Gestalt
(1191, 25):in 	 p.Time
(1191, 28):of 	 p.Whole
(1191, 43):his 	 p.SocialRel
(1191, 50):to 	 p.Purpose
(1192, 11):our 	 p.Possessor
(1193, 6):in 	 p.Locus
(1194, 1):With 	 p.Circumstance
(1194, 18):on 	 p.Locus
(1194, 25):of 	 p.QuantityItem
(1194, 30):for 	 p.Beneficiary
(1195, 8):in 	 p.Locus
(1195, 13):in 	 p.Topic
(1196, 8):for 	 p.Beneficiary
(1196, 21):in 	 p.Locus
(1196, 27):to 	 p.Beneficiary
(1196, 38):in 	 p.Locus
(1197, 5):from 	 p.Locus
(1198, 6):in 	 p.Locus
(1199, 4):in 	 p.Locus
(1200, 6):by 	 p.Agent
(1201, 7):than 	 p.ComparisonRef
(1201, 12):for 	 p.Cost
(1201, 13):about 	 p.Approximator
(1202, 6):at 	 p.Time
(1202, 8):for 	 p.Explanation
(1203, 8):at 	 p.Locus
(1204, 1):From 	 p.PartPortion
(1204, 6):to 	 p.PartPortion
(1204, 16):with 	 p.PartPortion
(1205, 4):my 	 p.Whole
(1205, 6):from 	 p.Source
(1205, 15):that 	 p.ComparisonRef
(1206, 13):his 	 p.Gestalt
(1207, 1):My 	 p.Whole
(1208, 11):on 	 p.Locus
(1208, 14):under 	 p.Locus
(1208, 17):for 	 p.Beneficiary
(1209, 4):for 	 p.Beneficiary
(1210, 10):with 	 p.Circumstance
(1211, 9):behind 	 p.Locus
(1211, 13):at 	 p.Recipient
(1211, 16):my 	 p.SocialRel
(1211, 26):in 	 p.Locus
(1212, 7):off 	 p.Source
(1212, 13):into 	 p.Goal
(1212, 18):at 	 p.Recipient
(1212, 32):about 	 p.Topic
(1213, 9):of 	 p.Species
(1213, 15):my 	 p.SocialRel
(1214, 15):home 	 p.Goal
(1215, 4):off 	 p.Direction
(1216, 10):my 	 p.Originator
(1216, 13):for 	 p.Theme
(1216, 16):of 	 p.Stuff
(1217, 5):back 	 p.Direction
(1217, 6):to 	 p.Goal
(1217, 14):to 	 p.Recipient
(1217, 19):for 	 p.Explanation
(1217, 27):my 	 p.Possessor
(1217, 31):my 	 p.Possessor
(1218, 11):my 	 p.Whole
(1219, 8):in 	 p.Topic
(1219, 13):on 	 p.Locus
(1219, 14):my 	 p.Gestalt
(1219, 20):in 	 p.Goal
(1219, 26):for 	 p.Duration
(1220, 5):on 	 p.Circumstance
(1220, 7):for 	 p.Purpose
(1221, 5):for 	 p.Stimulus
(1221, 8):at 	 p.Org
(1222, 8):in 	 p.Locus
(1222, 17):for 	 p.Purpose
(1223, 5):to 	 p.Recipient
(1223, 7):of 	 p.QuantityItem
(1223, 8):my 	 p.SocialRel
(1224, 3):for 	 p.Purpose
(1224, 10):for 	 p.Purpose
(1225, 1):Since 	 p.StartTime
(1225, 3):back 	 p.Direction
(1225, 4):from 	 p.Source
(1225, 11):in 	 p.Locus
(1225, 24):for 	 p.Purpose
(1225, 27):of 	 p.QuantityItem
(1226, 10):with 	 p.Recipient
(1226, 12):of 	 p.SocialRel
(1226, 13):my 	 p.SocialRel
(1226, 33):my 	 p.Possessor
(1227, 14):in 	 p.Locus
(1228, 4):back 	 p.Direction
(1228, 5):from 	 p.Source
(1229, 1):My 	 p.SocialRel
(1229, 7):about 	 p.Topic
(1229, 29):for 	 p.Agent
(1230, 1):Their 	 p.Agent
(1231, 1):Their 	 p.Originator
(1231, 5):then 	 p.ComparisonRef
(1232, 2):IN 	 p.Locus
(1233, 7):to 	 p.Recipient
(1233, 10):for 	 p.Theme
(1234, 2):from 	 p.Originator
(1235, 6):in 	 p.Locus
(1235, 16):to 	 p.Purpose
(1236, 4):to 	 p.Goal
(1237, 2):your 	 p.SocialRel
(1238, 1):Before 	 p.Time
(1238, 4):Before 	 p.Time
(1238, 10):on 	 p.Instrument
(1239, 7):in 	 p.Topic
(1240, 4):without 	 p.Circumstance
(1241, 8):in 	 p.Manner
(1242, 2):of 	 p.Instrument
(1242, 8):of 	 p.Theme
(1242, 10):with 	 p.Means
(1242, 13):of 	 p.Topic
(1242, 15):like 	 p.PartPortion
(1242, 24):before 	 p.Time
(1243, 10):at 	 p.Locus
(1244, 12):'s 	 p.Duration
(1245, 3):your 	 p.Originator
(1246, 1):Over 	 p.Instrument
(1247, 8):to 	 p.Purpose
(1247, 10):our 	 p.Experiencer
(1248, 4):in 	 p.Locus
(1248, 8):for 	 p.Duration
(1249, 11):home 	 p.Goal
(1249, 12):at 	 p.Time
(1250, 14):for 	 p.Cost
(1251, 1):Our 	 p.OrgMember
(1252, 7):for 	 p.Duration
(1252, 18):with 	 p.Topic
(1253, 5):for 	 p.Explanation
(1253, 8):of 	 p.QuantityItem
(1254, 4):with 	 p.Topic
(1254, 13):about 	 p.Topic
(1255, 19):to 	 p.Purpose
(1255, 22):our 	 p.Gestalt
(1256, 6):with 	 p.Org
(1256, 8):for 	 p.Duration
(1256, 17):our 	 p.Possessor
(1256, 19):on 	 p.Locus
(1256, 23):our 	 p.Possessor
(1256, 34):in 	 p.Characteristic
(1256, 41):our 	 p.Experiencer
(1257, 7):'s 	 p.Gestalt
(1257, 21):our 	 p.OrgMember
(1257, 27):of 	 p.Force
(1258, 13):to 	 p.Purpose
(1258, 15):with 	 p.SocialRel
(1258, 19):his 	 p.Gestalt
(1258, 24):as 	 p.Manner
(1259, 1):My 	 p.SocialRel
(1259, 8):on 	 p.Topic
(1259, 18):in 	 p.Locus
(1259, 20):at 	 p.Locus
(1260, 10):from 	 p.PartPortion
(1260, 14):to 	 p.PartPortion
(1261, 8):out 	 p.Direction
(1261, 9):for 	 p.Cost
(1261, 11):than 	 p.ComparisonRef
(1261, 14):of 	 p.Gestalt
(1261, 17):at 	 p.Locus
(1262, 6):about 	 p.Stimulus
(1263, 20):with 	 p.Agent
(1263, 26):before 	 p.Time
(1264, 12):of 	 p.Gestalt
(1265, 13):as 	 p.Explanation
(1265, 14):their 	 p.Experiencer
(1265, 16):of 	 p.Topic
(1266, 9):in 	 p.Time
(1266, 14):my 	 p.SocialRel
(1266, 17):for 	 p.Org
(1266, 21):in 	 p.Time
(1267, 11):of 	 p.QuantityItem
(1268, 5):their 	 p.Experiencer
(1269, 6):about 	 p.Topic
(1269, 8):re 	 p.Topic
(1270, 6):to 	 p.Recipient
(1270, 8):about 	 p.Topic
(1270, 9):my 	 p.Experiencer
(1270, 16):of 	 p.Topic
(1271, 5):with 	 p.Possessor
(1272, 11):of 	 p.QuantityItem
(1272, 13):in 	 p.Locus
(1272, 16):from 	 p.Originator
(1273, 3):with 	 p.SocialRel
(1273, 5):for 	 p.Duration
(1274, 9):after 	 p.Time
(1274, 17):with 	 p.Theme
(1274, 18):my 	 p.Theme
(1275, 8):for 	 p.Purpose
(1275, 18):after 	 p.Time
(1275, 23):like 	 p.Theme
(1276, 8):of 	 p.Stimulus
(1277, 4):your 	 p.Possessor
(1278, 5):from 	 p.Source
(1278, 7):for 	 p.Purpose
(1279, 3):during 	 p.Time
(1279, 12):to 	 p.Purpose
(1279, 14):my 	 p.Theme
(1280, 17):my 	 p.Possessor
(1281, 3):my 	 p.Gestalt
(1281, 21):in 	 p.Locus
(1281, 34):before 	 p.Time
(1281, 44):for 	 p.Theme
(1282, 13):to 	 p.Purpose
(1282, 24):since 	 p.Explanation
(1282, 29):to 	 p.Experiencer
(1282, 32):before 	 p.Time
(1283, 4):in 	 p.Locus
(1283, 7):my 	 p.Whole
(1283, 9):after 	 p.Time
(1283, 12):my 	 p.Whole
(1283, 17):at 	 p.Locus
(1283, 36):for 	 p.Duration
(1283, 44):about 	 p.Stimulus
(1283, 45):my 	 p.Whole
(1283, 48):my 	 p.Whole
(1283, 51):for 	 p.Purpose
(1283, 52):my 	 p.Agent
(1284, 2):there 	 p.Gestalt
(1285, 5):of 	 p.QuantityItem
(1286, 6):back 	 p.Interval
(1286, 7):in 	 p.Time
(1286, 15):in 	 p.Theme
(1286, 18):of 	 p.Gestalt
(1286, 31):of 	 p.Gestalt
(1287, 5):at 	 p.Locus
(1287, 23):about 	 p.Stimulus
(1288, 7):to 	 p.Purpose
(1288, 16):from 	 p.Originator
(1288, 17):my 	 p.Agent
(1288, 21):their 	 p.Gestalt
(1288, 23):of 	 p.QuantityItem
(1288, 34):for 	 p.Purpose
(1289, 8):my 	 p.Recipient
(1289, 12):to 	 p.Recipient
(1289, 21):after 	 p.Time
(1289, 32):to 	 p.Purpose
(1289, 35):on 	 p.Topic
(1289, 36):my 	 p.Gestalt
(1289, 45):to 	 p.Goal
(1290, 19):for 	 p.Theme
(1291, 1):My 	 p.Experiencer
(1291, 5):at 	 p.Locus
(1292, 5):like 	 p.Manner
(1292, 12):in 	 p.Locus
(1293, 3):with 	 p.Possession
(1294, 2):in 	 p.Path
(1295, 13):to 	 p.Purpose
(1296, 5):from 	 p.Source
(1297, 9):my 	 p.Possessor
(1297, 24):in 	 p.Direction
(1298, 9):by 	 p.Stimulus
(1298, 20):for 	 p.Beneficiary
(1299, 8):his 	 p.Possessor
(1300, 6):of 	 p.QuantityItem
(1300, 29):of 	 p.Topic
(1300, 34):their 	 p.Possessor
(1301, 7):at 	 p.Stimulus
(1302, 6):your 	 p.Originator
(1302, 15):of 	 p.QuantityItem
(1302, 32):from 	 p.Theme
(1303, 22):your 	 p.Possessor
(1303, 27):with 	 p.Theme
(1303, 29):to 	 p.Purpose
(1303, 36):of 	 p.Gestalt
(1303, 40):for 	 p.Theme
(1303, 43):to 	 p.Purpose
(1304, 3):at 	 p.Manner
(1304, 6):to 	 p.Beneficiary
(1304, 9):'s 	 p.Possessor
(1305, 7):by 	 p.Agent
(1305, 11):to 	 p.Purpose
(1305, 19):your 	 p.Possessor
(1305, 27):from 	 p.Source
(1305, 46):into 	 p.Goal
(1306, 8):away 	 p.Direction
(1306, 9):without 	 p.Circumstance
(1307, 1):My 	 p.Possessor
(1307, 5):from 	 p.Source
(1307, 10):of 	 p.QuantityItem
(1307, 19):for 	 p.ComparisonRef
(1308, 6):with 	 p.Topic
(1308, 7):your 	 p.Experiencer
(1308, 9):of 	 p.Topic
(1308, 12):like 	 p.Identity
(1308, 20):to 	 p.Goal
(1308, 37):your 	 p.Gestalt
(1309, 3):on 	 p.Locus
(1310, 10):into 	 p.Goal
(1310, 14):in 	 p.Time
(1311, 2):of 	 p.Force
(1312, 6):of 	 p.Topic
(1312, 7):my 	 p.Theme
(1312, 12):ago 	 p.Time
(1313, 6):on 	 p.Locus
(1314, 4):at 	 p.Locus
(1314, 21):of 	 p.Whole
(1314, 30):on 	 p.Locus
(1314, 40):to 	 p.ComparisonRef
(1314, 47):at 	 p.Locus
(1315, 4):of 	 p.QuantityItem
(1315, 5):my 	 p.SocialRel
(1315, 16):for 	 p.Duration
(1316, 5):nearby 	 p.Locus
(1316, 10):with 	 p.Characteristic
(1316, 18):across 	 p.Locus
(1317, 19):like 	 p.ComparisonRef
(1318, 7):about 	 p.Topic
(1319, 1):From 	 p.StartTime
(1320, 15):of 	 p.QuantityItem
(1320, 19):to 	 p.Purpose
(1320, 21):your 	 p.Experiencer
(1321, 6):into 	 p.Characteristic
(1321, 13):of 	 p.Species
(1321, 21):to 	 p.Purpose
(1321, 28):after 	 p.Time
(1321, 33):your 	 p.Possessor
(1321, 36):for 	 p.Cost
(1322, 2):AT 	 p.Locus
(1323, 13):OFF 	 p.Source
(1324, 11):YOUR 	 p.Possessor
(1325, 12):MY 	 p.Possessor
(1325, 14):HOME 	 p.Goal
(1326, 9):MY 	 p.Possessor
(1326, 15):BACK 	 p.Direction
(1326, 16):TO 	 p.Purpose
(1327, 5):FOR 	 p.Theme
(1327, 6):MY 	 p.SocialRel
(1328, 5):IN 	 p.Direction
(1328, 18):OF 	 p.QuantityItem
(1329, 4):ON 	 p.Time
(1330, 5):OF 	 p.Time
(1330, 11):MY 	 p.SocialRel
(1330, 13):S 	 p.Possessor
(1330, 18):WITH 	 p.Characteristic
(1330, 21):ON 	 p.Locus
(1331, 15):OF 	 p.QuantityItem
(1332, 2):MY 	 p.Experiencer
(1332, 11):OF 	 p.Gestalt
(1332, 14):FROM 	 p.Theme
(1333, 4):THERE 	 p.Gestalt
(1334, 8):our 	 p.Possessor
(1335, 4):to 	 p.Goal
(1335, 5):our 	 p.Possessor
(1335, 10):our 	 p.Possessor
(1335, 12):s 	 p.Gestalt
(1335, 30):to 	 p.Goal
(1335, 33):as 	 p.Explanation
(1336, 2):my 	 p.Possessor
(1336, 4):s 	 p.Whole
(1336, 17):like 	 p.ComparisonRef
(1337, 8):in 	 p.Topic
(1337, 12):at 	 p.Org
(1337, 15):for 	 p.Purpose
(1337, 25):for 	 p.Explanation
(1337, 26):your 	 p.Agent
(1338, 8):as 	 p.Identity
(1339, 4):for 	 p.Theme
(1340, 12):near 	 p.Locus
(1341, 1):My 	 p.Possessor
(1342, 4):my 	 p.Possessor
(1342, 7):to 	 p.Purpose
(1343, 6):to 	 p.Purpose
(1343, 11):to 	 p.Goal
(1343, 12):my 	 p.Experiencer
(1344, 6):through 	 p.Path
(1344, 15):at 	 p.Org
(1345, 5):like 	 p.Theme
(1345, 12):since 	 p.Explanation
(1346, 21):to 	 p.Goal
(1346, 26):at 	 p.Locus
(1347, 8):with 	 p.PartPortion
(1347, 12):between 	 p.Locus
(1347, 17):for 	 p.Beneficiary
(1347, 25):together 	 p.Ancillary
(1348, 10):of 	 p.Species
(1348, 21):for 	 p.Theme
(1349, 3):at 	 p.Org
(1349, 7):my 	 p.Possessor
(1349, 10):for 	 p.Duration
(1349, 12):past 	 p.Time
(1349, 13):its 	 p.Gestalt
(1350, 4):about 	 p.Topic
(1351, 7):with 	 p.Circumstance
(1352, 6):with 	 p.Ancillary
(1352, 9):of 	 p.QuantityItem
(1353, 6):for 	 p.Purpose
(1354, 4):for 	 p.Purpose
(1355, 2):of 	 p.QuantityItem
(1355, 8):inside 	 p.Locus
(1356, 8):to 	 p.Goal
(1356, 9):their 	 p.Gestalt
(1356, 11):to 	 p.Purpose
(1356, 33):MY 	 p.Possessor
(1356, 40):YOUR 	 p.Originator
(1357, 14):in 	 p.Time
(1357, 16):s 	 p.Time
(1357, 24):for 	 p.Theme
(1358, 1):As 	 p.Identity
(1358, 16):for 	 p.Purpose
(1358, 25):in 	 p.Direction
(1358, 26):with 	 p.Ancillary
(1359, 2):away 	 p.Locus
(1359, 3):from 	 p.Source
(1360, 4):for 	 p.Purpose
(1361, 23):ON 	 p.Time
(1361, 26):OF 	 p.Gestalt
(1361, 27):YOUR 	 p.Agent
(1362, 12):ON 	 p.Time
(1362, 15):OF 	 p.Gestalt
(1362, 16):YOUR 	 p.Agent
(1363, 3):since 	 p.StartTime
(1363, 5):in 	 p.Characteristic
(1364, 7):of 	 p.Whole
(1365, 5):at 	 p.Locus
(1365, 7):for 	 p.Theme
(1365, 8):my 	 p.Agent
(1365, 15):with 	 p.Org
(1365, 20):my 	 p.Possessor
(1366, 6):with 	 p.Possessor
(1367, 8):by 	 p.Means
(1367, 15):for 	 p.Possession
(1368, 16):to 	 p.Goal
(1369, 2):to 	 p.Goal
(1369, 5):for 	 p.Purpose
(1370, 3):with 	 p.Circumstance
(1370, 8):of 	 p.QuantityItem
(1370, 14):of 	 p.Theme
(1370, 27):at 	 p.Locus
(1371, 3):of 	 p.QuantityItem
(1371, 7):with 	 p.Theme
(1371, 10):for 	 p.Stimulus
(1371, 11):its 	 p.SocialRel
(1372, 3):on 	 p.Topic
(1372, 5):from 	 p.StartTime
(1372, 13):of 	 p.QuantityItem
(1372, 17):as 	 p.Time
(1372, 24):of 	 p.Species
(1372, 27):with 	 p.Topic
(1372, 30):after 	 p.Time
(1372, 37):as 	 p.Time
(1372, 39):as 	 p.ComparisonRef
(1373, 1):My 	 p.SocialRel
(1373, 8):as 	 p.Identity
(1374, 11):of 	 p.QuantityItem
(1375, 16):his 	 p.Gestalt
(1375, 20):his 	 p.Possessor
(1376, 8):for 	 p.Possession
(1376, 17):without 	 p.Manner
(1377, 3):for 	 p.Theme
(1377, 15):off 	 p.Theme
(1378, 2):away 	 p.Locus
(1378, 3):from 	 p.Source
(1379, 18):for 	 p.Time
(1380, 3):of 	 p.Whole
(1380, 5):your 	 p.SocialRel
(1381, 3):into 	 p.Goal
(1381, 7):in 	 p.Time
(1382, 5):at 	 p.Locus
(1383, 16):by 	 p.Stimulus
(1384, 11):to 	 p.Topic
(1385, 10):at 	 p.Locus
(1386, 1):My 	 p.Experiencer
(1386, 3):in 	 p.Locus
(1387, 1):My 	 p.OrgMember
(1387, 5):to 	 p.Goal
(1388, 8):in 	 p.Locus
(1388, 20):on 	 p.Locus
(1389, 6):in 	 p.Locus
(1389, 14):in 	 p.Locus
(1389, 18):'s 	 p.Gestalt
(1389, 23):up 	 p.Direction
(1389, 24):to 	 p.Goal
(1390, 11):out 	 p.Direction
(1390, 15):your 	 p.Possessor
(1391, 4):by 	 p.Locus
(1391, 8):on 	 p.Locus
(1392, 2):my 	 p.Possessor
(1392, 4):at 	 p.Locus
(1393, 3):to 	 p.Goal
(1393, 6):in 	 p.Time
(1393, 9):with 	 p.Possession
(1393, 20):for 	 p.Duration
(1394, 3):from 	 p.PartPortion
(1394, 7):to 	 p.PartPortion
(1395, 10):for 	 p.Theme
(1396, 10):to 	 p.Locus
(1397, 7):with 	 p.Topic
(1397, 12):about 	 p.Stimulus
(1398, 4):within 	 p.Locus
(1398, 7):to 	 p.Locus
(1399, 3):to 	 p.Purpose
(1399, 8):in 	 p.Locus
(1399, 10):around 	 p.Locus
(1400, 5):with 	 p.PartPortion
(1401, 1):After 	 p.Time
(1401, 11):at 	 p.Org
(1402, 9):my 	 p.SocialRel
(1402, 14):on 	 p.Topic
(1402, 15):my 	 p.Whole
(1403, 4):at 	 p.Topic
(1403, 5):my 	 p.Gestalt
(1404, 2):like 	 p.Theme
(1404, 7):of 	 p.QuantityItem
(1404, 9):in 	 p.Locus
(1405, 9):since 	 p.Explanation
(1405, 12):in 	 p.Locus
(1405, 17):their 	 p.Originator
(1406, 2):of 	 p.Whole
(1406, 14):with 	 p.Circumstance
(1406, 21):in 	 p.Time
(1407, 1):For 	 p.ComparisonRef
(1408, 9):their 	 p.Agent
(1409, 2):like 	 p.PartPortion
(1409, 9):their 	 p.Gestalt
(1410, 1):After 	 p.Time
(1410, 6):in 	 p.Time
(1410, 13):at 	 p.Stimulus
(1410, 18):at 	 p.Locus
(1410, 19):their 	 p.Gestalt
(1411, 3):my 	 p.Possessor
(1411, 6):on 	 p.Time
